res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
18895645,Plum By Bent Chair,['Casual Dining'],https://www.zomato.com/ncr/plum-by-bent-chair-aerocity-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Walk, Worldmark 2, Aerocity, New Delhi",New Delhi,1,Aerocity,28.55154,77.122704,,1,"Aerocity, New Delhi",Asian,12noon – 1am (Mon-Sun),0,1,Rs.,"['Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Serves Cocktails', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Sneakpeek', 'Valet Parking Available']",4.9,Excellent,1545,4321,0.0,-1,-1
18429148,Pa Pa Ya,['Fine Dining'],https://www.zomato.com/ncr/pa-pa-ya-saket-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Dome, Level 4, Select Citywalk, A-3, District Centre, Saket, New Delhi",New Delhi,1,"Select Citywalk Mall, Saket",28.5283913089,77.2186108679,,1,"Select Citywalk Mall, Saket, New Delhi","Asian, Chinese, Thai, Japanese",12Noon to 1AM (Mon-Sun),2500,4,Rs.,"['Credit Card', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Dinner', 'Mall Parking', 'Fullbar', 'Air Conditioned', 'Smoking Area', 'Brunch', 'Indoor Seating', 'Table booking recommended']",4.7,Excellent,3234,8344,0.0,-1,-1
18418277,Ministry Of Beer,['Lounge'],https://www.zomato.com/ncr/ministry-of-beer-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"M 44, Outer Circle, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.6332862038,77.2227874026,110001,1,"Connaught Place, New Delhi","Continental, Italian, Asian, Momos",12 Noon to 1 AM (Mon-Sun),1500,3,Rs.,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Dance Floor', 'Nightlife', 'Fullbar', 'Live Music', 'Above 18 Only', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Smoking Area', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Wifi']",4.5,Excellent,3043,9984,0.0,-1,-1
18625812,Detroit,['Bar'],https://www.zomato.com/ncr/detroit-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"F40, 2nd Floor, Inner Circle, 
Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.6313569294,77.2202507034,,1,"Connaught Place, New Delhi","Bar Food, Mexican, Italian",Mon-Sun (12 Noon to 1 AM),1500,3,Rs.,"['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Nightlife', 'Fullbar', 'Air Conditioned', 'Sports TV', 'Indoor Seating', 'Table booking recommended', 'Sneakpeek']",4.6,Excellent,1327,3255,0.0,-1,-1
18423151,The Darzi Bar & Kitchen,['Casual Dining'],https://www.zomato.com/TheDarziBar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"H 55, 1st Floor, Outer Circle, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.6355079448,77.2190960124,,1,"Connaught Place, New Delhi","North Indian, Chinese, Continental, Pizza",12 Noon to 1 AM,1500,3,Rs.,"['Lunch', 'Serves Alcohol', 'Cash', 'Credit Card', 'Dinner', 'Debit Card', 'Air Conditioned', 'Live Sports Screening', 'Fullbar', 'Indoor Seating', 'Rooftop', 'Free Wifi', 'Axis Bank - Dining Delights', 'Smoking Area', 'DJ', 'Valet Parking Available', 'Live Music']",4.3,Very Good,3211,9618,0.0,-1,-1
18238278,Tamasha,['Bar'],https://www.zomato.com/ncr/tamasha-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"28, Block A, Kasturba Gandhi Marg, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.6296624581,77.2218600288,110001,1,"Connaught Place, New Delhi","Finger Food, North Indian, Continental, Italian",12 Noon to 1 AM (Mon-Sun),1600,3,Rs.,"['Credit Card', 'Serves Alcohol', 'Debit Card', 'Lunch', 'Cash', 'Dinner', 'Table booking recommended', 'Digital Payments Accepted', 'DJ', 'Fullbar', 'Air Conditioned', 'Live Entertainment', 'Outdoor Seating', 'Hookah', 'Live Sports Screening', 'Live Music', 'Smoking Area', 'Nightlife', 'Indoor Seating']",4.5,Excellent,8702,6126,0.0,-1,-1
308322,Hauz Khas Social,['Lounge'],https://www.zomato.com/HauzKhasSocial?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"9-A & 12, Hauz Khas Village, New Delhi",New Delhi,1,Hauz Khas Village,28.5542935327,77.1944381297,,1,"Hauz Khas Village, New Delhi","Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",11am – 12:30AM (Mon-Sun),1300,3,Rs.,"['Dinner', 'Delivery', 'Credit Card', 'Breakfast', 'Lunch', 'Serves Alcohol', 'Cash', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Live Music', 'Romantic Dining', 'Paid Wifi', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Outdoor Seating', 'Indoor Seating', 'Table reservation required', 'Wifi', 'All Day Breakfast']",4.8,Excellent,14751,11914,0.0,1,-1
18382360,Local,['Bar'],https://www.zomato.com/ncr/local-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11, KG Marg, Scindia House, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.629914070300003,77.2211713716,110001,1,"Connaught Place, New Delhi","North Indian, Continental, Momos",11 AM to 1 AM,1600,3,Rs.,"['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'DJ', 'Live Sports Screening', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Nightlife', 'Fullbar', 'Table booking recommended', 'Sneakpeek', 'Smoking Area']",4.3,Very Good,6583,7496,0.0,-1,-1
307374,AMA Cafe,['Café'],https://www.zomato.com/ncr/ama-cafe-majnu-ka-tila-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"House 6, New Colony, Majnu ka Tila, New Delhi",New Delhi,1,Majnu ka Tila,28.7025817618,77.2284193709,110054,1,"Majnu ka Tila, New Delhi","Cafe, Juices",7 AM to 10 PM,450,1,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Wifi']",4.5,Excellent,3749,8956,0.0,-1,-1
18810973,Delhi Darbar Biryani Point,['Quick Bites'],https://www.zomato.com/ncr/delhi-darbar-biryani-point-uttam-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"B-234, Gate 4, East Metro Station, Uttam Nagar, New Delhi",New Delhi,1,Uttam Nagar,28.6254282202,77.0644606277,110059,1,"Uttam Nagar, New Delhi",Biryani,9am – 11pm (Mon-Sun),200,1,Rs.,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",4.2,Very Good,1009,67,0.0,1,-1
